paper_id,gold_material,gold_value,gold_unit,gold_qualifier,legacy_retained_same_temperature,legacy_retained_materials,previous_20260904_same_temperature,previous_20260904_materials,new_single_evidence_same_temperature,new_single_evidence_materials
1,BiFeO3,1103,K,,True,BiFeO3,True,BiFeO3,True,BiFeO3
3,0.8BaTiO3–0.2Ni0.5Co0.5Fe2O4 (24 h ball-milled sample),129,°C,,True,0.8BaTiO3-0.2Ni0.5Co0.5Fe2O4,True,Composite sample of 24 h,False,
4,0.66BaTiO3–0.33CoFe2O4 (randomly mixed),720,K,,True,0.66BaTiO3-0.33CoFe2O4 (randomly mixed),True,0.66BaTiO3-0.33CoFe2O4 | BT-CF randomly mixed ceramic composite,False,
4,0.66BaTiO3–0.33CoFe2O4 (tri-layered),746,K,,True,0.66BaTiO3-0.33CoFe2O4 (layered),True,0.66BaTiO3-0.33CoFe2O4 | BT-CF layered ceramic composite,False,
4,CoFe2O4,793,K,,True,CoFe2O4,True,CoFe2O4,True,CoFe2O4
7,BaTiO3,120,°C,,True,BaTiO3,True,cubic BaTiO3,True,BaTiO3
10,0.7BiFeO3-0.3(Ba0.85Ca0.15)TiO3,683,K,,False,,True,BF-BCT,True,Bi0.7Fe0.7O2.1-Ba0.21Ca0.09Ti0.3O0.9
10,0.7BiFeO3-0.3(Ba0.85Ca0.15)TiO3 with CuO and MnO2 additives,687,K,,False,,True,BF-BCT-CM,False,
10,0.7BiFeO3-0.3(Ba0.85Ca0.15)TiO3 with MnO2 additive,690,K,,False,,True,BF-BCT-M,False,
10,0.7BiFeO3-0.3(Ba0.85Ca0.15)TiO3 with CuO additive,692,K,,False,,True,BF-BCT-C,False,
11,BaTiO3,120,°C,typical; not observed in the current CoFe2O4-Ba0.97Sr0.03TiO3 composite,True,BaTiO3,False,,False,
12,"(1−y)BiFe1−xCrxO3–yBaTi1−xMnxO3 (y=0.24, x=0.01)",853.1,K,,True,(1-0.24)BiFe(1-0.01)Cr(0.01)O3-0.24BaTi(1-0.01)Mn(0.01)O3,True,"y=0.24, x=0.01",False,
12,BiFeO3,1100,K,approximately,True,BiFeO3,True,BiFeO3,True,BiFeO3
14,BiFeO3,1103,K,,True,BiFeO3,True,BiFeO3,True,BiFeO3
15,0.67BiFeO3–0.33Ba0.70Ca0.30TiO3,634,K,,True,0.67BiFeO3-0.33Ba0.70Ca0.30TiO3,True,0.67BiFeO3 - 0.33Ba0.70Ca0.30TiO3,True,Bi0.67Fe0.67O2.01-Ba0.231Ca0.099Ti0.33O0.99
15,0.725BiFeO3–0.275Ba0.85Ca0.15Ti0.9Zr0.075Sn0.025O3,673,K,,True,0.725BiFeO3-0.275Ba0.85Ca0.15Ti0.9Zr0.075Sn0.025O3,True,0.725BiFeO3 - 0.275Ba0.85Ca0.15Ti0.9Zr0.075Sn0.025O3,True,Bi0.725Fe0.725O2.175-Ba0.23375Ca0.04125Ti0.2475Zr0.020625Sn0.006875O0.825
15,0.74BiFeO3–0.26(Ba0.85Ca0.15)TiO3–1.2 wt.% MnO2,689,K,article also discusses frequency-dependent relaxor Tm,True,0.74BiFeO3-0.26(Ba0.85Ca0.15)TiO3-1.2 wt.% MnO2,True,0.74BiFeO3 - 0.26(Ba0.85Ca0.15)TiO3 - 1.2 wt.% MnO2,False,
15,0.6BiFe0.85Co0.15O3–0.4(Bi0.5K0.5)TiO3,690,K,,True,0.6BiFe0.85Co0.15O3-0.4(Bi0.5K0.5)TiO3,True,0.6BiFe0.85Co0.15O3 - 0.4(Bi0.5K0.5)TiO3,True,Bi0.6Fe0.51Co0.09O1.8-Bi0.2K0.2Ti0.4O1.2
15,0.74BiFeO3–0.26(Ba0.85Ca0.15)TiO3–0.8 wt.% MnO2,698,K,article also discusses frequency-dependent relaxor Tm,True,0.74BiFeO3-0.26(Ba0.85Ca0.15)TiO3-0.8 wt.% MnO2,True,0.74BiFeO3 - 0.26(Ba0.85Ca0.15)TiO3 - 0.8 wt.% MnO2 | 0.74BiFeO3-0.26(Ba0:85Ca0:15)TiO3-0.8 wt.% MnO2 | 0.74BiFeO3-0.26(Ba0.85Ca0.15)TiO3-x wt.% MnO2,False,
15,0.6BiFeO3–0.4Bi0.5K0.5TiO3,703,K,,True,0.6BiFeO3-0.4Bi0.5K0.5TiO3,True,0.6BiFeO3 - 0.4Bi0.5K0.5TiO3,True,Bi0.6Fe0.6O1.8-Bi0.2K0.2Ti0.4O1.2
