"paper_id","source_type","relative_path","filename","sha256","bytes"
"1","manual","pdfs/manual/original_001_100/1-纳米粉体-BiFeO3-(0.2,0.3,0.4)CoFe2O4溶胶凝胶纳米复合磁介电-2017-JAC- BiFeO3-CoFe2O4-Magnetic, dielectric and magnetoelectric properties of BiFeO3-CoFe2O4.pdf","1-纳米粉体-BiFeO3-(0.2,0.3,0.4)CoFe2O4溶胶凝胶纳米复合磁介电-2017-JAC- BiFeO3-CoFe2O4-Magnetic, dielectric and magnetoelectric properties of BiFeO3-CoFe2O4.pdf","eee401270171f6e87da472c0e8446a00776e9561fda5067918e84e042fa9b67b","2920290"
"2","manual","pdfs/manual/original_001_100/2-MFe2O4-BaTiO3 (Mn, Co, Ni, Zn）薄膜磁电耦合-2017-JAC-Multiferroic effects in MFe2O4BaTiO3 (M ¼ Mn, Co, Ni, Zn).pdf","2-MFe2O4-BaTiO3 (Mn, Co, Ni, Zn）薄膜磁电耦合-2017-JAC-Multiferroic effects in MFe2O4BaTiO3 (M ¼ Mn, Co, Ni, Zn).pdf","85551513209f75a9373d92277ee280689e33b9c4a1a6094d56bf0b85f13270ff","3394156"
"3","manual","pdfs/manual/original_001_100/3-球磨时间无磁电耦合测试-2017-陶瓷国际-Effect of mechanical milling on structural, dielectric and magnetic.pdf","3-球磨时间无磁电耦合测试-2017-陶瓷国际-Effect of mechanical milling on structural, dielectric and magnetic.pdf","a7b05bd690f6e0880f4f99a0c0c2f30242561a2ed446666a8b27df207116a267","1616550"
"4","manual","pdfs/manual/original_001_100/4-层状和混合陶瓷对比-2019-JAC-Functional properties of randomly mixed and layered BaTiO3-CoFe2O4 ceramic composites close to the percolation limit.pdf","4-层状和混合陶瓷对比-2019-JAC-Functional properties of randomly mixed and layered BaTiO3-CoFe2O4 ceramic composites close to the percolation limit.pdf","eaaa02459fb4273bba1ede2a288dea4c7dad690f6515c6c06000a22498b1b891","3262187"
"5","manual","pdfs/manual/original_001_100/5-核壳结构纳米双磁致伸缩-2020.pdf","5-核壳结构纳米双磁致伸缩-2020.pdf","d62e887ecbe2b3343a805a1b1fc53bb56f6e2f5b5b756553925d5d543846334f","1536976"
"6","manual","pdfs/manual/original_001_100/6-mof原位合成-2020-陶瓷国际-Dielectric, ferroelectric and magnetoelectric properties of in-situ synthesized CoFe2O4BaTiO3 composite ceramics.pdf","6-mof原位合成-2020-陶瓷国际-Dielectric, ferroelectric and magnetoelectric properties of in-situ synthesized CoFe2O4BaTiO3 composite ceramics.pdf","607045c43de2452f767f6c6742b84e90ea8ed6a6a529bbf9d8b7d3a3ba85a6d5","2244750"
"7","manual","pdfs/manual/original_001_100/7-钛酸钡立方相和四方相磁电耦合-2021-APLM-Scalable, costefficient synthesis and properties optimization of magnetoelectric cobalt ferritebarium titanate.pdf","7-钛酸钡立方相和四方相磁电耦合-2021-APLM-Scalable, costefficient synthesis and properties optimization of magnetoelectric cobalt ferritebarium titanate.pdf","69e146ca18afef9eeabbfffcb753be656843887fd8916831b32577a341f3e494","19736863"
"8","manual","pdfs/manual/original_001_100/8-特殊结构基于纳米管模版-2021-JAC-Ferromagnetic, ferroelectric, and magnetoelectric properties in individual nanotube-based magnetoelectric films of CoFe2O4BaTiO3.pdf","8-特殊结构基于纳米管模版-2021-JAC-Ferromagnetic, ferroelectric, and magnetoelectric properties in individual nanotube-based magnetoelectric films of CoFe2O4BaTiO3.pdf","618b303abd6c07e19b4bf2f447d9dab9b295092ece577189f4c3351fb39dba7f","7047684"
"9","manual","pdfs/manual/original_001_100/9-非原位溶胶凝胶温度影响-2022-3M-Microstructure and magnetoresistance driven magnetocapacitance in ex-situ combustion derived BaTiO3-CoFe2O4 bulk.pdf","9-非原位溶胶凝胶温度影响-2022-3M-Microstructure and magnetoresistance driven magnetocapacitance in ex-situ combustion derived BaTiO3-CoFe2O4 bulk.pdf","3225521edbdffb46376c48337c2a91b14196b1db483a5c609b2db4bc691a36aa","4456446"
"10","manual","pdfs/manual/original_001_100/10-MnCu共掺杂铁酸铋-钛酸钡固溶体-2020-JAP-Enhanced multiferroicity in Mn- and Cu-modified 0.7BiFeO3.pdf","10-MnCu共掺杂铁酸铋-钛酸钡固溶体-2020-JAP-Enhanced multiferroicity in Mn- and Cu-modified 0.7BiFeO3.pdf","265659529ef3a55f11c3d225e2c86b12fb50d01a63aa3515aa89afa0503e5692","1907020"
