title,doi,eid,scopus_id,year,cover_date,journal,issn,publisher,document_type,authors,affiliations,cited_by_count,open_access,scopus_url,discovery_source,review_status,download_status,oa_pdf_url,priority_score,candidate_rank
Achieving prominent piezoelectric response and high Curie temperature in BiFeO3-BaTiO3-based ceramics through multi-component cooperative regulation and quenching treatment,10.1016/j.mssp.2026.110559,2-s2.0-105031593649,105031593649,2026,2026-06-15,Materials Science in Semiconductor Processing,13698001,,Article,,Guilin University of Electronic Technology,0,False,https://api.elsevier.com/content/abstract/scopus_id/105031593649,scopus,PENDING,NOT_STARTED,,32,1
High piezoresponse and Curie temperature of 0.7BiFeO3-0.3BaTiO3 ceramics modified by ultralow amount of GeO2,10.1016/j.ceramint.2026.05.270,2-s2.0-105039702543,105039702543,2026,2026-07-01,Ceramics International,02728842,,Article,,Inner Mongolia University of Technology,0,False,https://api.elsevier.com/content/abstract/scopus_id/105039702543,scopus,PENDING,NOT_STARTED,,32,2
Influence of annealing temperature on ferroelectric hardening in Ti-doped BiFeO3-BaTiO3 ceramics,10.1016/j.jeurceramsoc.2026.118267,2-s2.0-105032175894,105032175894,2026,2026-08-01,Journal of the European Ceramic Society,09552219,,Article,,The University of Manchester,0,True,https://api.elsevier.com/content/abstract/scopus_id/105032175894,scopus,PENDING,NOT_STARTED,,29,3
Theory of central peak and acoustic anomaly in cubic BaTiO3 close to ferroelectric transition,10.1088/1361-648x/ae722e,2-s2.0-105042040732,105042040732,2026,2026-06-19,Journal of Physics Condensed Matter,09538984,,Article,,Kyoto University,0,True,https://api.elsevier.com/content/abstract/scopus_id/105042040732,scopus,PENDING,NOT_STARTED,,28,4
Ferroelectrically Modulated Photoresponse in a Zero-Dimensional Hybrid Perovskite [C4N2H14][BiBr5] with a High Ferroelectric Curie Temperature,10.1021/acs.inorgchem.6c01941,2-s2.0-105043385834,105043385834,2026,2026-06-29,Inorganic Chemistry,00201669,,Article,,Shanghai Institute of Technology,0,False,https://api.elsevier.com/content/abstract/scopus_id/105043385834,scopus,PENDING,NOT_STARTED,,27,5
Curie temperature difference in (Bi0.5Na0.5)TiO3–BaTiO3 ceramics between bulk and powder states,10.1016/j.ceramint.2026.04.152,2-s2.0-105037082589,105037082589,2026,2026-06-01,Ceramics International,02728842,,Article,,University of Yamanashi,1,False,https://api.elsevier.com/content/abstract/scopus_id/105037082589,scopus,PENDING,NOT_STARTED,,26,6
Enhanced Curie temperature of BaTiO3-based lead-free piezoceramics via localized compressive stress engineering,10.1016/j.jmst.2026.03.056,2-s2.0-105036286413,105036286413,2026,2026-12-20,Journal of Materials Science and Technology,10050302,,Article,,Guizhou University,0,False,https://api.elsevier.com/content/abstract/scopus_id/105036286413,scopus,PENDING,NOT_STARTED,,26,7
Multiscale regulation of BiFeO3-BaTiO3 lead-free ferroelectric ceramics for ultrahigh piezoelectric performance and temperature stability,10.1016/j.ceramint.2026.05.121,2-s2.0-105039012291,105039012291,2026,2026-07-01,Ceramics International,02728842,,Article,,Guilin University of Technology,0,False,https://api.elsevier.com/content/abstract/scopus_id/105039012291,scopus,PENDING,NOT_STARTED,,26,8
High-entropy designed filled tungsten bronze structure ferroelectrics with high Curie temperature and enhanced piezoelectricity,10.1016/j.jmat.2026.101276,2-s2.0-105044388499,105044388499,2026,2026-09-01,Journal of Materiomics,23528478,,Article,,Queen Mary University of London; East China Normal University,0,True,https://api.elsevier.com/content/abstract/scopus_id/105044388499,scopus,PENDING,NOT_STARTED,,25,9
An interpretable machine learning framework for predicting Curie temperature of lead-based piezoelectric ceramics,10.1016/j.jmat.2026.101247,2-s2.0-105040682155,105040682155,2026,2026-07-01,Journal of Materiomics,23528478,,Article,,Xi'an Jiaotong University,1,True,https://api.elsevier.com/content/abstract/scopus_id/105040682155,scopus,PENDING,NOT_STARTED,,23,10
