candidate_rank,paper_id,title,doi,year,journal,s2_is_open_access,oa_pdf_url,status,filename,sha256,bytes,error,openalex_status,openalex_error
1,,Lead-Free BiFeO3-BaTiO3Ceramics with High Curie Temperature: Fine Compositional Tuning across the Phase Boundary for High Piezoelectric Charge and Strain Coefficients,10.1021/acsami.0c20381,2021,ACS Applied Materials and Interfaces,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
2,,Temperature-insensitive piezoelectric properties of lead-free BiFeO3–BaTiO3 ceramics with high Curie temperature,10.1016/j.jallcom.2020.156788,2021,Journal of Alloys and Compounds,True,https://www.sciencedirect.com/science/article/am/pii/S0925838820331522,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/am/pii/S0925838820331522,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://www.sciencedirect.com/science/article/am/pii/S0925838820331522
3,,BiAlO3-modified BiFeO3–BaTiO3 high Curie temperature lead-free piezoelectric ceramics with enhanced performance,10.1007/s12598-023-02407-9,2023,Rare Metals,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
4,,Demonstration of Enhanced Piezo-Catalysis for Hydrogen Generation and Water Treatment at the Ferroelectric Curie Temperature,10.1016/j.isci.2020.101095,2020,Iscience,True,http://www.cell.com/article/S2589004220302807/pdf,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://www.cell.com/article/S2589004220302807/pdf,NO_WORKING_PDF,HTTPError: 403 Client Error: Forbidden for url: https://www.cell.com/article/S2589004220302807/pdf
5,101,Controlling bimerons as skyrmion analogues by ferroelectric polarization in 2D van der Waals multiferroic heterostructures,10.1038/s41467-020-19779-6,2020,Nature Communications,True,https://www.nature.com/articles/s41467-020-19779-6.pdf,DOWNLOADED,101-Controlling bimerons as skyrmion analogues by ferroelectric polarization in 2D van der Waals multiferroic.pdf,c2b1e384b259217711027ffbc66c87c98dc755fb8211c3a1c5832b9a635d5260,1682552,,,
6,,Experimental Observation of the Fully Ferroelectric-Fully Ferroelastic Effect in Multiferroic Hybrid Perovskites,10.1021/jacs.4c06929,2024,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
7,102,Anomalous thickness dependence of Curie temperature in air-stable two-dimensional ferromagnetic 1T-CrTe2 grown by chemical vapor deposition,10.1038/s41467-021-21072-z,2021,Nature Communications,True,https://www.nature.com/articles/s41467-021-21072-z.pdf,DOWNLOADED,102-Anomalous thickness dependence of Curie temperature in air-stable two-dimensional ferromagnetic 1T-CrTe2.pdf,f67562f4a84fa8231b04e6994ff54a14415e40ef2b457adab61c7151fe4fffc0,1590549,,,
8,,Record Enhancement of Curie Temperature in Host-Guest Inclusion Ferroelectrics,10.1021/jacs.1c00613,2021,Journal of the American Chemical Society,False,,NO_OA_PDF,,,0,,NO_WORKING_PDF,
9,,"Textured (K,Na)NbO3 ceramics with enhanced piezoelectric properties: High kp, d33, and Curie temperature",10.26599/jac.2025.9221206,2026,Journal of Advanced Ceramics,True,https://www.sciopen.com/article_pdf/1989137859572453378.pdf,DOWNLOAD_FAILED,,,0,HTTPError: 404 Client Error: Not Found for url: https://www.sciopen.com/article_pdf/1989137859572453378.pdf,NO_WORKING_PDF,HTTPError: 404 Client Error: Not Found for url: https://www.sciopen.com/article_pdf/1989137859572453378.pdf
10,,Enhanced piezoelectric properties in 0.665PMN-0.335PT-based piezoceramics with high Curie temperature by phase tuning,10.1142/s2010135x25500250,2026,Journal of Advanced Dielectrics,True,https://doi.org/10.1142/s2010135x25500250,DOWNLOAD_FAILED,,,0,HTTPError: 403 Client Error: Forbidden for url: https://www.worldscientific.com/doi/10.1142/S2010135X25500250,NO_WORKING_PDF,
