title,doi,eid,scopus_id,year,cover_date,journal,issn,publisher,document_type,authors,affiliations,cited_by_count,open_access,scopus_url,discovery_source,review_status,download_status,oa_pdf_url,priority_score,candidate_rank
Re-entrant relaxor ferroelectric behaviour in Nb-doped BiFeO3-BaTiO3 ceramics,10.1039/d2tc04702k,2-s2.0-85147386696,85147386696,2023,2023-01-24,Journal of Materials Chemistry C,,,Article,,The University of Manchester,41,True,https://api.elsevier.com/content/abstract/scopus_id/85147386696,scopus,PENDING,NOT_STARTED,,30,1
A nickel(ii)-based one-dimensional organic-inorganic halide perovskite ferroelectric with the highest Curie temperature,10.1039/d2sc05857j,2-s2.0-85147232936,85147232936,2023,2023-01-19,Chemical Science,20416520,,Article,,Zhejiang Normal University,36,True,https://api.elsevier.com/content/abstract/scopus_id/85147232936,scopus,PENDING,NOT_STARTED,,30,2
The effect of Ba/Sr ratio on the Curie temperature for ferroelectric barium strontium titanate ceramics,10.1142/s2010135x20500216,2-s2.0-85093526220,85093526220,2020,2020-10-01,Journal of Advanced Dielectrics,2010135X,,Article,,"Al-Ayen Iraqi University, AUIQ; Directorate-General for Education Dhi Qar",60,True,https://api.elsevier.com/content/abstract/scopus_id/85093526220,scopus,PENDING,NOT_STARTED,,30,3
"Increase of Curie point of BaTiO3 ceramics by stoichiometry, point defects and doping processing",10.1142/s2010135x24500127,2-s2.0-85194935152,85194935152,2025,2025-02-01,Journal of Advanced Dielectrics,2010135X,,Article,,Northeastern University at Qinhuangdao,13,True,https://api.elsevier.com/content/abstract/scopus_id/85194935152,scopus,PENDING,NOT_STARTED,,28,4
Effect of phase structure on the electrical properties of BiFeO3–BaTiO3-based ferroelectric ceramics,10.1142/s2010135x25500134,2-s2.0-105004905219,105004905219,2025,2025-12-01,Journal of Advanced Dielectrics,2010135X,,Article,,Guizhou University,9,True,https://api.elsevier.com/content/abstract/scopus_id/105004905219,scopus,PENDING,NOT_STARTED,,28,5
Susceptible Antiferroelectric/Ferroelectric Transitions in Silver Niobate-Based Ceramics Induced by Manual Mechanical Processing,10.1021/acs.inorgchem.5c03344,2-s2.0-105030453191,105030453191,2026,2026-02-16,Inorganic Chemistry,00201669,,Article,,Xi'an Jiaotong University; The Australian National University; Shaanxi University of Science and Technology,1,True,https://api.elsevier.com/content/abstract/scopus_id/105030453191,scopus,PENDING,NOT_STARTED,,26,6
Research on Improving Energy Storage Density and Efficiency of Dielectric Ceramic Ferroelectric Materials Based on BaTiO3 Doping with Multiple Elements,10.3390/jcs7060233,2-s2.0-85163729697,85163729697,2023,2023-06-01,Journal of Composites Science,,,Article,,Shandong University,26,True,https://api.elsevier.com/content/abstract/scopus_id/85163729697,scopus,PENDING,NOT_STARTED,,25,7
"A multifunctional molecular ferroelectric with chiral features, a high Curie temperature, large spontaneous polarization and photoluminescence: (C9H14N)2CdBr4",10.1039/d1sc03964d,2-s2.0-85117229120,85117229120,2021,2021-10-21,Chemical Science,20416520,,Article,,Jiangxi University of Science and Technology,45,True,https://api.elsevier.com/content/abstract/scopus_id/85117229120,scopus,PENDING,NOT_STARTED,,25,8
Intrinsic ferroelectric elastomers with ultrahigh Curie temperature and fast polarization switching,10.1038/s41467-025-64263-8,2-s2.0-105019113718,105019113718,2025,2025-12-01,Nature Communications,,,Article,,Beijing University of Chemical Technology,12,True,https://api.elsevier.com/content/abstract/scopus_id/105019113718,scopus,PENDING,NOT_STARTED,,24,9
Enhancement of Piezoelectricity by Novel Poling Method of the Rare-Earth Modified BiFeO3–BaTiO3 Lead-Free Ceramics,10.1002/aelm.202201210,2-s2.0-85149044242,85149044242,2023,2023-05-01,Advanced Electronic Materials,,,Article,,Central South University,43,True,https://api.elsevier.com/content/abstract/scopus_id/85149044242,scopus,PENDING,NOT_STARTED,,24,10
