title,doi,eid,scopus_id,year,cover_date,journal,issn,publisher,document_type,authors,affiliations,cited_by_count,open_access,scopus_url,discovery_source,review_status,download_status,oa_pdf_url,priority_score,candidate_rank
Lead-Free BiFeO3-BaTiO3Ceramics with High Curie Temperature: Fine Compositional Tuning across the Phase Boundary for High Piezoelectric Charge and Strain Coefficients,10.1021/acsami.0c20381,2-s2.0-85099934541,85099934541,2021,2021-01-27,ACS Applied Materials and Interfaces,19448244,,Article,,University of Science and Technology Beijing,186,False,https://api.elsevier.com/content/abstract/scopus_id/85099934541,scopus,PENDING,NOT_STARTED,,38,1
Temperature-insensitive piezoelectric properties of lead-free BiFeO3–BaTiO3 ceramics with high Curie temperature,10.1016/j.jallcom.2020.156788,2-s2.0-85090198161,85090198161,2021,2021-01-15,Journal of Alloys and Compounds,09258388,,Article,,Changwon National University,74,True,https://api.elsevier.com/content/abstract/scopus_id/85090198161,scopus,PENDING,NOT_STARTED,,36,2
BiAlO3-modified BiFeO3–BaTiO3 high Curie temperature lead-free piezoelectric ceramics with enhanced performance,10.1007/s12598-023-02407-9,2-s2.0-85171590595,85171590595,2023,2023-11-01,Rare Metals,10010521,,Article,,University of Science and Technology Beijing,49,False,https://api.elsevier.com/content/abstract/scopus_id/85171590595,scopus,PENDING,NOT_STARTED,,33,3
Demonstration of Enhanced Piezo-Catalysis for Hydrogen Generation and Water Treatment at the Ferroelectric Curie Temperature,10.1016/j.isci.2020.101095,2-s2.0-85084201229,85084201229,2020,2020-05-22,Iscience,,,Article,,Viet Nam Academy of Science and Technology,104,True,https://api.elsevier.com/content/abstract/scopus_id/85084201229,scopus,PENDING,NOT_STARTED,,28,4
Controlling bimerons as skyrmion analogues by ferroelectric polarization in 2D van der Waals multiferroic heterostructures,10.1038/s41467-020-19779-6,2-s2.0-85096423752,85096423752,2020,2020-12-01,Nature Communications,,,Article,,Henan University,158,True,https://api.elsevier.com/content/abstract/scopus_id/85096423752,scopus,PENDING,NOT_STARTED,,26,5
Experimental Observation of the Fully Ferroelectric-Fully Ferroelastic Effect in Multiferroic Hybrid Perovskites,10.1021/jacs.4c06929,2-s2.0-85199296272,85199296272,2024,2024-07-31,Journal of the American Chemical Society,00027863,,Article,,Zhejiang Normal University,76,False,https://api.elsevier.com/content/abstract/scopus_id/85199296272,scopus,PENDING,NOT_STARTED,,25,6
Anomalous thickness dependence of Curie temperature in air-stable two-dimensional ferromagnetic 1T-CrTe2 grown by chemical vapor deposition,10.1038/s41467-021-21072-z,2-s2.0-85100449837,85100449837,2021,2021-12-01,Nature Communications,,,Article,,Beihang University,364,True,https://api.elsevier.com/content/abstract/scopus_id/85100449837,scopus,PENDING,NOT_STARTED,,25,7
Record Enhancement of Curie Temperature in Host-Guest Inclusion Ferroelectrics,10.1021/jacs.1c00613,2-s2.0-85104047824,85104047824,2021,2021-04-07,Journal of the American Chemical Society,00027863,,Article,,Southeast University,95,False,https://api.elsevier.com/content/abstract/scopus_id/85104047824,scopus,PENDING,NOT_STARTED,,24,8
"Textured (K,Na)NbO3 ceramics with enhanced piezoelectric properties: High kp, d33, and Curie temperature",10.26599/jac.2025.9221206,2-s2.0-105030822315,105030822315,2026,2026-01-01,Journal of Advanced Ceramics,22264108,,Article,,Guizhou University,7,True,https://api.elsevier.com/content/abstract/scopus_id/105030822315,scopus,PENDING,NOT_STARTED,,23,9
Enhanced piezoelectric properties in 0.665PMN-0.335PT-based piezoceramics with high Curie temperature by phase tuning,10.1142/s2010135x25500250,2-s2.0-105015607557,105015607557,2026,2026-02-01,Journal of Advanced Dielectrics,2010135X,,Article,,Guizhou University,3,True,https://api.elsevier.com/content/abstract/scopus_id/105015607557,scopus,PENDING,NOT_STARTED,,23,10
